,W,bol_total,W_pca_norm,diff
86,0.19023548447421224,8,0.547633090120892,-0.3573976056466798
87,0.5052766578414728,5,0.730504171905789,-0.22522751406431618
88,0.2436928476872836,3,0.49711867850757946,-0.25342583082029585
89,0.3843678749507083,3,0.5780196118777637,-0.19365173692705545
90,0.14185287559566576,4,0.42910109436060095,-0.2872482187649352
91,0.6226942087720736,5,0.6799897602924766,-0.057295551520403
92,0.5399954346543361,3,0.6775275408919075,-0.1375321062375714
93,0.12233929706172957,4,0.42663887496003194,-0.30429957789830236
94,0.377270303397239,1,0.5203843275077106,-0.14311402411047158
95,0.00862182108195863,3,0.2508886659318756,-0.24226684484991695
96,0.5052766578414728,2,0.730504171905789,-0.22522751406431618
97,0.0916673719860984,1,0.2823790107990408,-0.19071163881294242
98,0.045624457515834264,2,0.3457379415898476,-0.30011348407401334
99,0.10738676462152644,2,0.40803187931607254,-0.30064511469454613
100,0.023574353522161744,3,0.269495661575835,-0.24592130805367324
101,0.377270303397239,2,0.5203843275077106,-0.14311402411047158
102,0.15680540803586887,9,0.366807156634376,-0.21000174859850715
103,0.06932670158344778,3,0.39514853009286677,-0.325821828509419
104,0.023574353522161744,3,0.269495661575835,-0.24592130805367324
105,0.5627105063140581,7,0.7455451250388861,-0.1828346187248281
106,0.3956741465303361,8,0.6130759992557914,-0.21740185272545526
107,0.13475530404219638,7,0.3714658099905477,-0.2367105059483513
108,0.0,1,0.08090093337018431,-0.08090093337018431
109,0.08427923402365088,1,0.33285459236664183,-0.24857535834299094
110,0.2282955475122909,1,0.5605164393440978,-0.3322208918318069
111,0.0853366606278539,1,0.3317895993020599,-0.24645293867420603
112,0.2754303313056211,1,0.452366743360732,-0.1769364120551109
113,0.13475530404219638,4,0.3714658099905477,-0.2367105059483513
114,0.25864538012748667,2,0.5157256741515388,-0.25708029402405214
115,0.00862182108195863,1,0.1699877325616912,-0.16136591147973256
116,0.2754303313056211,4,0.452366743360732,-0.1769364120551109
117,0.3993204073909114,6,0.5966266075217231,-0.19730620013081174
118,0.08427923402365088,1,0.3117853773221134,-0.22750614329846253
119,0.28136045178720864,9,0.5837432582985174,-0.3023828065113087
120,0.08427923402365088,5,0.4137555257368261,-0.3294762917131752
121,0.09876494353956781,1,0.2380441467543813,-0.13927920321481346
122,0.14604154112934306,4,0.47604946346305105,-0.330007922333708
123,0.2974804352992935,2,0.5286090233747447,-0.23112858807545117
124,0.10738676462152644,1,0.40803187931607254,-0.30064511469454613
125,0.00862182108195863,1,0.2508886659318756,-0.24226684484991695
126,0.06222913002997836,1,0.25661231235262916,-0.19438318232265078
127,0.00862182108195863,1,0.2508886659318756,-0.24226684484991695
128,0.35861769600620597,6,0.7280419525052201,-0.3694242564990141
129,0.11204023238247447,2,0.3034482258435692,-0.19140799346109472
130,0.41838921819005803,6,0.6810935834027698,-0.2627043652127118
131,0.2819028564603106,3,0.6471410191350357,-0.36523816267472514
132,0.037002636433875635,1,0.2777203574428691,-0.24071772100899347
133,0.045624457515834264,6,0.3457379415898476,-0.30011348407401334
134,0.045624457515834264,2,0.3457379415898476,-0.30011348407401334
135,0.11204023238247447,2,0.3034482258435692,-0.19140799346109472
136,0.41838921819005803,3,0.6810935834027698,-0.2627043652127118
137,0.3993204073909114,3,0.5966266075217231,-0.19730620013081174
138,0.037002636433875635,1,0.2777203574428691,-0.24071772100899347
139,0.1137174759797709,1,0.35862129081305344,-0.24490381483328255
140,0.00862182108195863,1,0.2508886659318756,-0.24226684484991695
141,0.0916673719860984,2,0.2823790107990408,-0.19071163881294242
142,0.045624457515834264,4,0.3457379415898476,-0.30011348407401334
143,0.11980277160199324,2,0.3528588143465883,-0.23305604274459504
144,0.030671925075631146,1,0.22516079753117546,-0.1944888724555443
145,0.06222913002997836,5,0.25661231235262916,-0.19438318232265078
146,0.4381554625627183,2,0.609509956744929,-0.17135449418221071
147,0.0,1,0.18287108178489705,-0.18287108178489705
148,0.045624457515834264,2,0.3457379415898476,-0.30011348407401334
149,0.030671925075631146,5,0.32713094594588826,-0.2964590208702571
150,0.014952532440203115,1,0.20147807742885648,-0.18652554498865337
